Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
448,0,0,8128,0,-19,15,1023,1022,553,652,553
452,0,0,8073,0,-19,15,1023,1023,554,650,554
456,0,0,8073,0,-18,14,1023,1023,554,649,554
460,0,0,8073,0,-17,14,1023,1023,555,648,555
464,0,0,8045,0,-16,14,1023,1023,556,651,556
468,0,0,8045,0,-15,14,1023,1023,556,652,556
472,0,0,8003,0,-14,14,1023,1023,556,651,556
476,0,0,8003,0,-13,14,1023,1023,558,641,558
480,0,0,8003,0,-12,14,1023,1023,558,629,558
484,0,0,7796,0,-11,14,1023,1019,558,612,558
488,0,0,7796,0,-9,14,1023,1023,559,587,559
492,0,0,7962,0,-8,14,1023,1023,557,569,557
496,0,0,7962,0,-7,14,1023,1023,557,553,557
500,0,0,7962,0,-5,15,1023,1023,557,548,557
504,0,0,8183,0,-4,15,1023,1023,556,552,556
508,0,0,8183,0,-3,15,1023,1023,558,553,558
512,0,0,8170,0,-1,15,1023,1023,557,557,557
516,0,0,8170,0,0,15,1023,1023,557,577,557
520,0,0,8170,0,1,15,1023,1019,557,585,557
524,0,0,8197,0,2,15,1023,1022,557,588,557
528,0,0,8197,0,3,15,1023,1023,557,591,557
532,0,0,8197,0,5,14,1023,1023,557,589,557
536,0,0,8197,0,6,14,1023,1023,556,590,556
540,0,0,8197,0,7,14,1023,1023,556,595,556
544,0,0,8197,0,8,14,1023,1023,556,596,556
548,0,0,8197,0,9,14,1023,1022,557,601,557
552,0,0,8197,0,11,13,1023,1023,557,606,557
556,0,0,8197,0,12,13,1023,1023,558,610,558
560,0,0,8197,0,13,13,1023,1023,558,614,558
564,0,0,8197,0,14,12,1023,1023,557,611,557
568,0,0,8197,0,15,12,1023,1019,558,604,558
572,0,0,8156,0,16,12,1023,1023,557,597,557
576,0,0,8156,0,17,12,1023,1023,558,591,558
580,0,0,8156,0,19,12,1023,1023,558,585,558
584,0,0,8211,0,20,11,1023,1023,559,584,559
588,0,0,8211,0,21,11,1023,1023,559,584,559
592,0,0,8183,0,22,11,1023,1023,559,587,559
596,0,0,8183,0,23,10,1023,1023,560,589,560
600,0,0,8183,0,24,10,1023,1023,559,592,559
604,0,0,8211,0,25,10,1023,1023,560,596,560
608,0,0,8211,0,25,9,1023,1023,561,599,561
612,0,0,8142,0,26,9,1023,1023,560,603,560
616,0,0,8142,0,27,9,1023,1023,562,605,562
620,0,0,8142,0,27,9,1023,1023,562,609,562
624,0,0,8114,0,28,9,1023,1023,561,613,561
628,0,0,8114,0,28,9,1023,1023,563,622,563
632,0,0,8114,0,29,9,1023,1023,563,626,563
636,0,0,8114,0,29,9,1023,1019,563,629,563
640,0,0,8114,0,29,9,1023,1023,563,634,563
644,0,0,8073,0,29,10,1023,1023,562,634,562
648,0,0,8073,0,29,10,1023,1023,561,635,561
652,0,0,8073,0,29,11,1023,1023,561,637,561
656,0,0,8073,0,29,11,1023,1023,561,641,561
660,0,0,8073,0,29,12,1023,1022,562,643,562
664,0,0,8073,0,29,13,1023,1023,561,643,561
668,0,0,8073,0,29,14,1023,1023,561,640,561
672,0,0,8003,0,30,15,1023,1023,560,640,560
676,0,0,8003,0,30,16,1023,1022,560,640,560
680,0,0,8003,0,30,17,1023,1023,558,642,558
684,0,0,7879,0,30,19,1023,1023,558,639,558
688,0,0,7879,0,31,20,1023,1023,557,626,557
692,0,0,7768,0,31,21,1023,1023,555,597,555
696,0,0,7768,0,32,22,1023,1023,556,575,556
700,0,0,7768,0,33,23,1023,1023,557,554,557
704,0,0,7962,0,34,24,1023,1022,555,534,555
708,0,0,7962,0,35,25,1023,1023,555,529,555
712,0,0,8128,0,36,26,1023,1023,556,528,556
716,0,0,8128,0,37,26,1023,1022,553,540,553
720,0,0,8128,0,37,27,1023,1023,552,550,552
724,0,0,8045,0,38,27,1023,1023,552,566,552
728,0,0,8045,0,39,28,1023,1023,552,574,552
732,0,0,8073,0,39,28,1023,1022,551,580,551
736,0,0,8073,0,40,28,1023,1022,552,586,552
740,0,0,8073,0,41,28,1023,1022,552,590,552
744,0,0,8114,0,41,27,1023,1023,552,608,552
748,0,0,8114,0,42,27,1023,1023,551,624,551
752,0,0,8170,0,42,27,1023,1023,551,640,551
756,0,0,8170,0,43,27,1023,1022,550,653,550
760,0,0,8170,0,43,26,1023,1023,550,654,550
764,0,0,8114,0,44,26,1023,1023,550,655,550
768,0,0,8114,0,45,26,1023,1019,550,647,550
772,0,0,8073,0,46,26,1023,1023,550,640,550
776,0,0,8073,0,47,26,1023,1023,550,636,550
780,0,0,8073,0,48,26,1023,1023,550,622,550
784,0,0,8017,0,49,26,1023,1023,550,620,550
788,0,0,8017,0,50,26,1023,1023,551,614,551
792,0,0,8128,0,51,26,1023,1023,551,604,551
796,0,0,8128,0,52,26,1023,1023,551,603,551
800,0,0,8128,0,53,26,1023,1023,552,603,552
804,0,0,8170,0,55,27,1023,1023,554,603,554
808,0,0,8170,0,56,27,1023,1023,555,609,555
812,0,0,8183,0,57,27,1023,1023,556,611,556
816,0,0,8183,0,58,27,1023,1023,556,613,556
820,0,0,8183,0,60,27,1023,1023,557,612,557
824,0,0,8128,0,61,27,1023,1023,557,610,557
828,0,0,8128,0,62,27,1023,1023,558,609,558
832,0,0,8142,0,64,27,1023,1020,560,604,560
836,0,0,8142,0,65,27,1023,1023,561,603,561
840,0,0,8142,0,66,27,1023,1023,562,602,562
844,0,0,8031,0,68,28,1023,1022,563,602,563
848,0,0,8031,0,69,28,1023,1023,564,604,564
852,0,0,8017,0,70,28,1023,1023,566,604,566
856,0,0,8017,0,71,29,1023,1023,566,610,566
860,0,0,8017,0,72,30,1023,1022,567,612,567
864,0,0,8073,0,73,31,1023,1023,566,615,566
868,0,0,8073,0,74,32,1023,1023,569,624,569
872,0,0,8017,0,75,33,1023,1023,569,627,569
876,0,0,8017,0,75,34,1023,1020,570,632,570
880,0,0,8017,0,76,35,1023,1023,569,631,569
884,0,0,7893,0,77,36,1023,1023,570,609,570
888,0,0,7893,0,78,38,1023,1023,571,597,571
892,0,0,7948,0,79,39,1023,1023,572,578,572
896,0,0,7948,0,80,40,1023,1023,574,550,574
900,0,0,7948,0,81,42,1023,1023,575,544,575
904,0,0,8114,0,81,43,1023,1023,576,539,576
908,0,0,8114,0,82,45,1023,1023,576,539,576
912,0,0,8183,0,83,46,1023,1023,576,544,576
916,0,0,8183,0,83,48,1023,1023,575,553,575
920,0,0,8183,0,84,49,1023,1022,575,587,575
924,0,0,8142,0,84,50,1023,1023,575,594,575
928,0,0,8142,0,84,51,1023,1023,575,601,575
932,0,0,8156,0,84,52,1023,1023,575,621,575
936,0,0,8156,0,84,54,1023,1023,575,627,575
940,0,0,8156,0,84,55,1023,1023,573,634,573
944,0,0,8128,0,85,56,1023,1023,571,642,571
948,0,0,8128,0,85,58,1023,1023,570,633,570
952,0,0,8059,0,85,59,1023,1023,568,623,568
956,0,0,8059,0,85,61,1023,1023,567,616,567
960,0,0,8059,0,85,62,1023,1022,566,591,566
964,0,0,8059,0,85,64,1023,1023,566,585,566
968,0,0,8059,0,86,66,1023,1023,566,581,566
972,0,0,8197,0,86,67,1023,1023,565,579,565
976,0,0,8197,0,86,69,1023,1023,566,583,566
980,0,0,8197,0,86,70,1023,1023,567,584,567
984,0,0,8183,0,86,72,1023,1022,565,595,565
988,0,0,8183,0,86,73,1023,1023,565,604,565
992,0,0,8211,0,86,75,1023,1023,564,611,564
996,0,0,8211,0,86,76,1023,1023,563,621,563
1000,0,0,8211,0,86,78,1023,1023,562,624,562
1004,0,0,8170,0,86,79,1023,1023,562,623,562
1008,0,0,8170,0,86,80,1023,1023,561,617,561
1012,0,0,8073,0,86,82,1023,1023,560,617,560
1016,0,0,8073,0,87,84,1023,1023,559,614,559
1020,0,0,8073,0,87,85,1023,1023,557,608,557
1024,0,0,8142,0,87,87,1023,1023,557,606,557
1028,0,0,8142,0,87,88,1023,1023,556,601,556
1032,0,0,7990,0,87,90,1023,1023,554,597,554
1036,0,0,7990,0,88,91,1023,1023,554,597,554
1040,0,0,7990,0,89,92,1023,1023,555,598,555
1044,0,0,8073,0,89,93,1023,1023,553,602,553
1048,0,0,8073,0,90,94,1023,1023,553,604,553
1052,0,0,8100,0,91,95,1023,1023,552,606,552
1056,0,0,8100,0,92,96,1023,1023,552,606,552
1060,0,0,8100,0,93,97,1023,1023,551,610,551
1064,0,0,8087,0,93,97,1023,1023,550,612,550
1068,0,0,8087,0,94,98,1023,1023,551,611,551
1072,0,0,8087,0,95,99,1023,1023,550,612,550
1076,0,0,8087,0,97,99,1023,1023,551,609,551
1080,0,0,8087,0,98,100,1023,1022,551,607,551
1084,0,0,8087,0,99,100,1023,1023,551,604,551
1088,0,0,8087,0,100,101,1023,1023,551,603,551
1092,0,0,8087,0,101,102,1023,1023,551,602,551
1096,0,0,8087,0,103,102,1023,1023,553,602,553
1100,0,0,8087,0,104,102,1023,1023,552,601,552
1104,0,0,8100,0,105,103,1023,1023,552,603,552
1108,0,0,8100,0,107,103,1023,1023,554,606,554
1112,0,0,8156,0,108,103,1023,1023,554,610,554
1116,0,0,8156,0,110,104,1023,1022,555,613,555
1120,0,0,8156,0,111,104,1023,1023,555,615,555
1124,0,0,8156,0,113,104,1023,1022,555,615,555
1128,0,0,8156,0,114,104,1023,1023,556,615,556
1132,0,0,8100,0,116,105,1023,1022,557,612,557
1136,0,0,8100,0,118,105,1023,1023,558,607,558
1140,0,0,8100,0,119,105,1023,1022,559,605,559
1144,0,0,8073,0,121,106,1023,1023,560,601,560
1148,0,0,8073,0,123,106,1023,1023,562,597,562
1152,0,0,8142,0,124,106,1023,1023,562,596,562
1156,0,0,8142,0,126,107,1023,1023,563,594,563
1160,0,0,8142,0,127,107,1023,1022,565,596,565
1164,0,0,8031,0,129,108,1023,1023,566,599,566
1168,0,0,8031,0,130,108,1023,1023,566,598,566
1172,0,0,8045,0,131,109,1023,1023,569,599,569
1176,0,0,8045,0,133,110,1023,1023,570,595,570
1180,0,0,8045,0,134,111,1023,1023,573,588,573
1184,0,0,8087,0,135,112,1023,1023,574,581,574
1188,0,0,8087,0,136,113,1023,1023,575,578,575
1192,0,0,8114,0,137,114,1023,1023,576,578,576
1196,0,0,8114,0,138,115,1023,1023,578,579,578
1200,0,0,8114,0,138,116,1023,1022,579,583,579
1204,0,0,8156,0,139,117,1023,1023,581,586,581
1208,0,0,8156,0,140,118,1023,1022,581,592,581
1212,0,0,8183,0,140,119,1023,1023,583,604,583
1216,0,0,8183,0,141,120,1023,1023,583,611,583
1220,0,0,8183,0,141,121,1023,1023,582,619,582
1224,0,0,8170,0,142,122,1023,1023,583,638,583
1228,0,0,8170,0,142,123,1023,1023,584,642,584
1232,0,0,8031,0,143,124,1023,1023,583,640,583
1236,0,0,8031,0,143,125,1023,1023,583,638,583
1240,0,0,8031,0,143,126,1023,1023,582,634,582
1244,0,0,7948,0,144,128,1023,1023,581,630,581
1248,0,0,7948,0,145,129,1023,1023,582,629,582
1252,0,0,8017,0,145,130,1023,1023,581,627,581
1256,0,0,8017,0,146,132,1023,1023,581,623,581
1260,0,0,8017,0,147,134,1023,1023,581,620,581
1264,0,0,7976,0,147,135,1023,1023,580,619,580
1268,0,0,7976,0,148,137,1023,1023,580,619,580
1272,0,0,7990,0,149,139,1023,1023,579,619,579
1276,0,0,7990,0,149,140,1023,1023,580,617,580
1280,0,0,7990,0,150,142,1023,1023,580,613,580
1284,0,0,7879,0,151,144,1023,1023,581,603,581
1288,0,0,7879,0,152,146,1023,1023,581,578,581
1292,0,0,7962,0,153,148,1023,1023,581,572,581
1296,0,0,7962,0,153,150,1023,1023,582,566,582
1300,0,0,7962,0,154,152,1023,1020,582,559,582
1304,0,0,8156,0,155,154,1023,1023,583,562,583
1308,0,0,8156,0,156,156,1023,1023,583,567,583
1312,0,0,8225,0,156,158,1023,1023,584,579,584
1316,0,0,8225,0,157,159,1023,1023,585,584,585
1320,0,0,8225,0,157,161,1023,1023,585,587,585
1324,0,0,8170,0,158,163,1023,1023,585,593,585
1328,0,0,8170,0,158,164,1023,1022,586,593,586
1332,0,0,8114,0,159,166,1023,1023,584,594,584
1336,0,0,8114,0,159,168,1023,1023,584,598,584
1340,0,0,8114,0,160,170,1023,1023,583,598,583
1344,0,0,8156,0,160,171,1023,1023,582,600,582
1348,0,0,8156,0,161,173,1023,1023,582,606,582
